ADP,Player
3.36,Puka Nacua
3.57,Jahmyr Gibbs
3.62,Bijan Robinson
3.64,Ja'Marr Chase
4.25,Josh Allen
6.01,Brock Bowers
6.70,Jaxon Smith-Njigba
9.58,Trey McBride
10.52,Christian McCaffrey
11.29,Amon-Ra St. Brown
12.52,Justin Jefferson
13.06,CeeDee Lamb
14.57,Jonathan Taylor
15.94,Joe Burrow
16.29,Drake Maye
16.32,Lamar Jackson
19.00,James Cook
19.54,De'Von Achane
19.78,Drake London
21.74,Ashton Jeanty
22.12,Colston Loveland
23.54,A.J. Brown
23.58,Nico Collins
25.35,Jayden Daniels
28.07,Saquon Barkley
28.23,George Pickens
28.81,Omarion Hampton
29.38,Tyler Warren
30.94,Kenneth Walker
33.52,Caleb Williams
34.81,Dak Prescott
35.13,Chase Brown
35.32,Jalen Hurts
35.49,Justin Herbert
35.61,Malik Nabers
38.42,Derrick Henry
38.86,Chris Olave
39.38,Jeremiyah Love
39.88,DeVonta Smith
41.04,Rashee Rice
43.28,Tetairoa McMillan
44.45,Zay Flowers
46.13,Garrett Wilson
46.43,Tee Higgins
47.70,Tucker Kraft
48.51,Ladd McConkey
48.84,Breece Hall
49.01,Emeka Egbuka
51.03,Jameson Williams
52.03,Harold Fannin
52.07,Trevor Lawrence
54.07,Luther Burden
54.59,Kyle Pitts
55.10,Kyren Williams
56.28,Jaylen Waddle
58.04,Patrick Mahomes
58.84,Josh Jacobs
59.28,Sam LaPorta
59.32,Matthew Stafford
61.49,Jaxson Dart
61.52,Terry McLaurin
61.80,Brock Purdy
63.33,Travis Etienne
65.16,Jared Goff
65.55,Javonte Williams
66.72,DJ Moore
66.93,Davante Adams
68.03,Bo Nix
68.75,Carnell Tate
68.80,Mike Evans
69.88,Christian Watson
70.17,TreVeyon Henderson
70.90,Rome Odunze
72.52,Bucky Irving
73.51,George Kittle
74.35,Cam Skattebo
78.51,Travis Kelce
78.59,Quinshon Judkins
79.52,Brian Thomas
81.51,Alec Pierce
81.96,Jordan Love
83.86,Bhayshul Tuten
84.88,D'Andre Swift
85.59,Baker Mayfield
85.77,Dalton Kincaid
86.13,Marvin Harrison
87.78,Jordyn Tyson
88.25,DK Metcalf
88.41,David Montgomery
90.55,Jake Ferguson
92.30,Courtland Sutton
92.83,Parker Washington
94.54,Isaiah Likely
94.99,Tyler Shough
96.70,Mark Andrews
96.96,Kyler Murray
98.20,Dallas Goedert
99.09,Jadarian Price
100.36,Makai Lemon
101.75,Michael Wilson
103.42,Chris Godwin
103.81,Sam Darnold
103.87,Oronde Gadsden
106.55,Quentin Johnston
106.66,Jordan Addison
108.32,Jaylen Warren
108.36,RJ Harvey
108.71,Jakobi Meyers
109.68,C.J. Stroud
110.93,Ricky Pearsall
111.15,Michael Pittman
112.33,Brenton Strange
113.09,Josh Downs
113.94,Chuba Hubbard
114.55,Jayden Reed
115.94,Wan'Dale Robinson
116.52,Hunter Henry
118.67,Tony Pollard
119.66,Cam Ward
119.92,Rhamondre Stevenson
119.99,Xavier Worthy
120.67,Rico Dowdle
121.11,Malik Willis
121.43,Juwan Johnson
122.88,Kenyon Sadiq
124.81,Daniel Jones
125.92,J.K. Dobbins
126.60,Chig Okonkwo
127.44,Kenneth Gainwell
129.23,Dalton Schultz
129.29,Khalil Shakir
129.67,Bryce Young
129.78,Matthew Golden
130.80,Kyle Monangai
132.04,KC Concepcion
132.52,Romeo Doubs
133.54,Kenny Gainwell
133.78,Jalen Coker
134.42,Jayden Higgins
134.43,T.J. Hockenson
135.77,Blake Corum
140.38,Aaron Jones
140.39,Stefon Diggs
140.44,AJ Barner
140.97,Fernando Mendoza
141.33,Jonathon Brooks
142.00,Rashid Shaheed
143.00,Marlin Klein
147.89,Jacory Croskey-Merritt
148.00,Joe Reed
148.17,Rachaad White
154.08,Cade Otton
156.26,Gunnar Helm
156.84,Jacoby Brissett
158.21,Omar Cooper
158.58,Denzel Boston
159.13,Jordan Mason
160.43,Greg Dulcich
161.44,Zach Charbonnet
162.40,Jalen McMillan
162.84,Aaron Rodgers
163.10,Jauan Jennings
163.71,Jalen Nailor
164.25,Travis Hunter
164.38,Tua Tagovailoa
165.13,Tyrone Tracy
166.76,Antonio Williams
167.05,Geno Smith
167.69,David Njoku
169.37,Brian Robinson
172.05,Pat Freiermuth
172.05,Terrance Ferguson
172.29,Eli Stowers
172.81,Tyler Allgeier
173.85,Woody Marks
174.56,Colby Parkinson
175.77,Tre Tucker
176.02,Tyjae Spears
179.05,Jerry Jeudy
179.41,Alvin Kamara
180.33,Cade Klubnik
181.27,Jonah Coleman
182.82,Isaac TeSlaa
183.20,Adonai Mitchell
183.50,Chris Rodriguez
184.57,Ryan Flournoy
186.18,Keaton Mitchell
186.34,Deebo Samuel
186.36,Brandon Aiyuk
187.89,Isiah Pacheco
188.82,Tyreek Hill
189.27,Malik Washington
189.79,Tre' Harris
190.55,Zachariah Branch
190.64,Emmett Johnson
191.15,Shedeur Sanders
191.40,Dylan Sampson
191.40,Joe Flacco
191.75,Mike Gesicki
191.97,De'Zhaun Stribling
193.98,Tank Dell
196.23,Kayshon Boutte
196.58,Michael Penix
196.88,Jake Tonges
197.04,Tank Bigsby
199.08,James Conner
199.23,Evan Engram
199.54,Mason Taylor
202.24,Calvin Ridley
203.26,Theo Johnson
203.91,Troy Franklin
204.00,Cyrus Allen
205.19,Chimere Dike
205.96,Deshaun Watson
206.19,Nicholas Singleton
206.35,Germie Bernard
207.48,Elic Ayomanor
207.64,George Holani
207.97,Cooper Kupp
208.23,J.J. McCarthy
208.60,Trey Benson
208.63,Braelon Allen
208.93,Ty Simpson
208.98,Kirk Cousins
209.38,Mike Washington
210.00,Brenen Thompson
210.00,Taylen Green
210.16,Ja'Kobi Lane
210.57,Sean Tucker
211.60,Tory Horton
211.65,Jordan James
211.76,Chris Bell
211.79,Demond Claiborne
211.80,Jaylin Noel
212.29,Darnell Washington
212.59,Ted Hurst
212.74,Kimani Vidal
212.84,Kaytron Allen
212.98,Darnell Mooney
213.08,Malachi Fields
213.17,Tyquan Thornton
213.33,Oscar Delp
213.52,Pat Bryant
213.67,Keon Coleman
213.75,Chris Brooks
213.78,Mac Jones
213.83,Dawson Knox
214.05,Elijah Sarratt
214.50,Odell Beckham
214.57,Ray Davis
215.50,Christian Kirk
215.72,Dontayvion Wicks
216.00,Isaiah Bond
216.03,Jaylen Wright
216.42,MarShawn Lloyd
216.67,Rashod Bateman
216.83,Eli Raridon
217.00,Xavier Legette
217.00,Savion Williams
217.25,Justin Fields
218.00,Kyle Williams
218.11,Marvin Mims
